Number of Models: 10
Test Accuracies: [82.8370084110025, 83.24619231643555, 82.08683791770856, 82.63241645828597, 82.76881109343033, 82.88247328938395, 82.8370084110025, 82.90520572857467, 82.90520572857467, 83.22345987724484]
Mean Accuracy: 82.83246192316436
Standard Deviation: 0.32269745245237236
Total Time: 0:24:01.588318



########## Model 1 ##########

Test Accuracy: 82.8370084110025


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|      55 |     0.774753 |          0.731931 |         0.828783 |              0.842105 |
|      56 |     0.768675 |          0.738982 |         0.828223 |              0.839306 |
|      57 |     0.768887 |          0.731083 |         0.829903 |              0.842105 |
|      58 |     0.767092 |          0.732002 |         0.829763 |              0.842105 |
|      59 |     0.76918  |          0.734249 |         0.829623 |              0.841545 |
|      60 |     0.770092 |          0.742441 |         0.822064 |              0.833707 |
|      61 |     0.76819  |          0.729819 |         0.829623 |              0.840985 |
|      62 |     0.766201 |          0.731488 |         0.830183 |              0.841545 |
|      63 |     0.764624 |          0.730288 |         0.829483 |              0.841545 |
|      64 |     0.763249 |          0.732823 |         0.829763 |              0.839866 |
|      65 |     0.765363 |          0.729102 |         0.829763 |              0.840426 |
|      66 |     0.759375 |          0.731222 |         0.829903 |              0.842665 |
|      67 |     0.76364  |          0.737772 |         0.829623 |              0.840426 |
|      68 |     0.766534 |          0.734065 |         0.828643 |              0.837066 |
|      69 |     0.76471  |          0.736441 |         0.818844 |              0.829227 |
|      70 |     0.767287 |          0.730004 |         0.829203 |              0.840426 |
|      71 |     0.764169 |          0.735346 |         0.829063 |              0.838186 |
|      72 |     0.765612 |          0.728456 |         0.827103 |              0.837066 |
|      73 |     0.764731 |          0.741417 |         0.825423 |              0.836506 |
|      74 |     0.760982 |          0.728593 |         0.829903 |              0.842105 |
|      75 |     0.764345 |          0.732074 |         0.830183 |              0.841545 |
|      76 |     0.760116 |          0.728497 |         0.829623 |              0.841545 |
|      77 |     0.766255 |          0.74003  |         0.829483 |              0.840985 |
|      78 |     0.765176 |          0.724341 |         0.829763 |              0.841545 |
|      79 |     0.761326 |          0.727543 |         0.829623 |              0.838186 |
|      80 |     0.76073  |          0.728852 |         0.830603 |              0.840985 |
|      81 |     0.763421 |          0.732382 |         0.829063 |              0.837066 |
|      82 |     0.758114 |          0.730708 |         0.829483 |              0.838186 |
|      83 |     0.761244 |          0.725971 |         0.829343 |              0.843225 |
|      84 |     0.763875 |          0.733036 |         0.829763 |              0.838746 |
|      85 |     0.760101 |          0.736945 |         0.829203 |              0.836506 |
|      86 |     0.760445 |          0.733731 |         0.829903 |              0.837626 |
|      87 |     0.759824 |          0.729808 |         0.829623 |              0.840985 |
|      88 |     0.758207 |          0.735565 |         0.828643 |              0.838186 |
|      89 |     0.756956 |          0.732664 |         0.830743 |              0.840985 |
|      90 |     0.758536 |          0.734364 |         0.830463 |              0.840426 |
|      91 |     0.760368 |          0.730055 |         0.829483 |              0.838186 |
|      92 |     0.760214 |          0.729256 |         0.829903 |              0.837066 |
|      93 |     0.757782 |          0.732678 |         0.830183 |              0.840426 |
|      94 |     0.761491 |          0.732048 |         0.830183 |              0.841545 |
|      95 |     0.760907 |          0.729445 |         0.829203 |              0.838746 |
|      96 |     0.760577 |          0.739552 |         0.829343 |              0.838186 |
|      97 |     0.759384 |          0.733186 |         0.830463 |              0.839866 |
|      98 |     0.754483 |          0.743541 |         0.828083 |              0.839306 |
|      99 |     0.764131 |          0.735284 |         0.828223 |              0.837066 |
|     100 |     0.764881 |          0.731346 |         0.830183 |              0.837626 |

########## Model 3 ##########

Test Accuracy: 82.08683791770856


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.29726  |          0.864524 |         0.763545 |              0.783875 |
|       2 |     0.900468 |          0.833556 |         0.785944 |              0.801232 |
|       3 |     0.863896 |          0.80709  |         0.789024 |              0.804031 |
|       4 |     0.832789 |          0.767522 |         0.805684 |              0.815789 |
|       5 |     0.823272 |          0.777901 |         0.802464 |              0.81411  |
|       6 |     0.811964 |          0.775687 |         0.800924 |              0.81243  |
|       7 |     0.803798 |          0.76484  |         0.808624 |              0.818029 |
|       8 |     0.795963 |          0.755163 |         0.807084 |              0.817469 |
|       9 |     0.780195 |          0.74827  |         0.811704 |              0.818029 |
|      10 |     0.779648 |          0.747761 |         0.811564 |              0.819709 |
|      11 |     0.774772 |          0.752613 |         0.814224 |              0.821948 |
|      12 |     0.770432 |          0.737419 |         0.815204 |              0.821389 |
|      13 |     0.774145 |          0.736983 |         0.818004 |              0.829787 |
|      14 |     0.768042 |          0.735604 |         0.819404 |              0.823068 |
|      15 |     0.765274 |          0.740929 |         0.818844 |              0.829787 |
|      16 |     0.762174 |          0.728088 |         0.820384 |              0.825868 |
|      17 |     0.756816 |          0.732101 |         0.821084 |              0.828667 |
|      18 |     0.756307 |          0.729752 |         0.821504 |              0.825868 |
|      19 |     0.75756  |          0.731493 |         0.820804 |              0.827548 |
|      20 |     0.755998 |          0.73453  |         0.821924 |              0.828108 |
|      21 |     0.76997  |          0.734984 |         0.820524 |              0.829227 |
|      22 |     0.763038 |          0.731695 |         0.820944 |              0.826428 |
|      23 |     0.779168 |          0.730141 |         0.820804 |              0.824748 |
|      24 |     0.749879 |          0.730009 |         0.820384 |              0.829787 |
|      25 |     0.779813 |          0.73286  |         0.822064 |              0.828108 |
|      26 |     0.76224  |          0.721141 |         0.820944 |              0.826988 |
|      27 |     0.786363 |          0.775712 |         0.798264 |              0.81075  |
|      28 |     0.801553 |          0.770291 |         0.802464 |              0.81355  |
|      29 |     0.797584 |          0.773191 |         0.802884 |              0.81019  |
|      30 |     0.790266 |          0.762256 |         0.804004 |              0.81411  |
|      31 |     0.78718  |          0.766775 |         0.804284 |              0.81467  |
|      32 |     0.78832  |          0.765538 |         0.803724 |              0.81075  |
|      33 |     0.788367 |          0.763861 |         0.804564 |              0.81411  |
|      34 |     0.784336 |          0.763866 |         0.803724 |              0.81131  |
|      35 |     0.785882 |          0.769926 |         0.804564 |              0.81355  |
|      36 |     0.782668 |          0.765539 |         0.803444 |              0.81411  |
|      37 |     0.784019 |          0.763411 |         0.804004 |              0.81131  |
|      38 |     0.771088 |          0.763935 |         0.803024 |              0.81523  |
|      39 |     0.78388  |          0.760856 |         0.803864 |              0.81131  |
|      40 |     0.782669 |          0.763338 |         0.804004 |              0.80963  |
|      41 |     0.781683 |          0.765538 |         0.803584 |              0.81075  |
|      42 |     0.781102 |          0.758453 |         0.804424 |              0.81299  |
|      43 |     0.780389 |          0.775379 |         0.800364 |              0.809071 |
|      44 |     0.783817 |          0.763812 |         0.805124 |              0.81411  |
|      45 |     0.779624 |          0.761924 |         0.804424 |              0.81075  |
|      46 |     0.783476 |          0.753579 |         0.804424 |              0.81075  |
|      47 |     0.775898 |          0.759034 |         0.804004 |              0.81243  |
|      48 |     0.779071 |          0.757183 |         0.804564 |              0.815789 |
|      49 |     0.778574 |          0.75838  |         0.805264 |              0.815789 |
|      50 |     0.776759 |          0.758731 |         0.804284 |              0.81019  |
|      51 |     0.779453 |          0.751654 |         0.803024 |              0.81243  |
|      52 |     0.775739 |          0.762162 |         0.804424 |              0.81299  |
|      53 |     0.778405 |          0.756191 |         0.803864 |              0.81131  |
|      54 |     0.781403 |          0.756153 |         0.804284 |              0.81355  |
|      55 |     0.78142  |          0.75089  |         0.807224 |              0.816349 |
|      56 |     0.773323 |          0.756532 |         0.806524 |              0.81187  |
|      57 |     0.766492 |          0.72369  |         0.820944 |              0.831467 |
|      58 |     0.741458 |          0.717109 |         0.823324 |              0.831467 |
|      59 |     0.736697 |          0.719971 |         0.823604 |              0.832027 |
|      60 |     0.740587 |          0.716584 |         0.823324 |              0.832027 |
|      61 |     0.73683  |          0.719985 |         0.822904 |              0.828108 |
|      62 |     0.73435  |          0.724794 |         0.821364 |              0.826988 |
|      63 |     0.737305 |          0.720611 |         0.822064 |              0.828667 |
|      64 |     0.735839 |          0.719862 |         0.823744 |              0.832027 |
|      65 |     0.734512 |          0.717929 |         0.823604 |              0.832587 |
|      66 |     0.731841 |          0.719131 |         0.822904 |              0.829227 |
|      67 |     0.732155 |          0.716276 |         0.822344 |              0.829227 |
|      68 |     0.731238 |          0.725389 |         0.823324 |              0.832587 |
|      69 |     0.731082 |          0.721069 |         0.823044 |              0.829227 |
|      70 |     0.73231  |          0.716771 |         0.823464 |              0.833147 |
|      71 |     0.731622 |          0.719913 |         0.823184 |              0.829227 |
|      72 |     0.73172  |          0.716058 |         0.823884 |              0.833707 |
|      73 |     0.73696  |          0.719725 |         0.823604 |              0.833147 |
|      74 |     0.760419 |          0.734619 |         0.818144 |              0.821948 |
|      75 |     0.744573 |          0.718858 |         0.821924 |              0.830347 |
|      76 |     0.743745 |          0.720273 |         0.822204 |              0.831467 |
|      77 |     0.7452   |          0.712753 |         0.822764 |              0.833147 |
|      78 |     0.741899 |          0.712707 |         0.822624 |              0.833147 |
|      79 |     0.740705 |          0.715284 |         0.821084 |              0.829227 |
|      80 |     0.742046 |          0.729157 |         0.818984 |              0.824188 |
|      81 |     0.741808 |          0.723664 |         0.819684 |              0.826428 |
|      82 |     0.737299 |          0.719931 |         0.822764 |              0.830907 |
|      83 |     0.736488 |          0.717037 |         0.820944 |              0.828667 |
|      84 |     0.737513 |          0.719589 |         0.822484 |              0.833147 |
|      85 |     0.741786 |          0.721133 |         0.822904 |              0.831467 |
|      86 |     0.737291 |          0.724946 |         0.818704 |              0.825308 |
|      87 |     0.734978 |          0.721478 |         0.823464 |              0.833147 |
|      88 |     0.734997 |          0.716393 |         0.823604 |              0.832587 |
|      89 |     0.73567  |          0.723734 |         0.823324 |              0.832027 |
|      90 |     0.729431 |          0.722877 |         0.822484 |              0.829787 |
|      91 |     0.735747 |          0.722534 |         0.823464 |              0.833147 |
|      92 |     0.730522 |          0.726877 |         0.823464 |              0.832587 |
|      93 |     0.73383  |          0.720313 |         0.830463 |              0.837626 |
|      94 |     0.729986 |          0.724626 |         0.823604 |              0.832027 |
|      95 |     0.730651 |          0.72423  |         0.823744 |              0.833147 |
|      96 |     0.728327 |          0.724086 |         0.823744 |              0.832587 |
|      97 |     0.73267  |          0.730502 |         0.821504 |              0.828667 |
|      98 |     0.730787 |          0.724204 |         0.823044 |              0.829227 |
|      99 |     0.728123 |          0.725745 |         0.823044 |              0.829227 |
|     100 |     0.732775 |          0.721516 |         0.823744 |              0.832027 |

########## Model 4 ##########

Test Accuracy: 82.63241645828597


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     2.07506  |          1.89574  |         0.306734 |              0.30963  |
|       2 |     1.88692  |          1.86549  |         0.306174 |              0.306831 |
|       3 |     1.87494  |          1.8625   |         0.308134 |              0.307951 |
|       4 |     1.86466  |          1.86074  |         0.307014 |              0.305711 |
|       5 |     1.85344  |          1.8557   |         0.307434 |              0.307391 |
|       6 |     1.84873  |          1.84598  |         0.305894 |              0.307951 |
|       7 |     1.32879  |          1.24585  |         0.581268 |              0.586226 |
